epoch,train_loss,test_loss,test_accuracy,epoch_time_sec
1,2.190244664077759,2.505945263671875,10.0,19.093520641326904
2,1.9467507158660888,2.8287,10.0,17.558353185653687
3,1.8103779314422608,2.69946396484375,10.24,17.676734924316406
4,1.6725017122650145,2.6724774658203123,10.33,17.591642379760742
5,1.5636905829620362,2.477612023925781,11.42,17.517413854599
6,1.4548905220413209,2.1560366333007814,20.04,17.50457453727722
7,1.3286571599578858,2.0885211669921877,22.44,17.53603720664978
8,1.2227210837936402,2.0011421264648437,25.6,17.495205402374268
9,1.134864726715088,2.0122480834960936,30.36,17.67374539375305
10,1.057689504890442,1.7731257446289062,41.24,17.603665351867676
11,1.0152997662353516,1.8117053588867187,40.21,17.526647567749023
12,0.963466138381958,1.6383697509765625,45.09,17.613107681274414
13,0.9213275162506104,1.6277963989257813,47.68,17.535508155822754
14,0.8894444169616699,1.6542700927734375,45.16,17.51693820953369
15,0.8660169021606445,1.5388476440429688,50.83,17.527567625045776
16,0.8275818845748901,1.3734633422851563,57.11,17.521384477615356
17,0.8162850706863404,1.3756745971679687,57.94,17.48279118537903
18,0.782852334022522,1.37488056640625,56.91,17.58111810684204
19,0.7712114308738709,1.2185845703125,64.89,17.559962511062622
20,0.7489557065963746,1.367401806640625,58.23,17.75596809387207
21,0.7340237697982788,1.1466861938476562,66.73,17.504842519760132
22,0.715947832736969,1.246124981689453,62.47,17.730958938598633
23,0.7134185906600952,1.1292756530761718,69.3,17.558793783187866
24,0.6792731145095825,1.1483056030273437,66.45,17.669259309768677
25,0.6775770527267456,1.195918310546875,66.13,17.674508333206177
26,0.6606133658981324,1.0394816040039063,73.41,17.50053572654724
27,0.6512401260757447,1.0981124084472655,70.47,17.51337218284607
28,0.6436483794212341,1.0530181884765626,71.68,17.873690128326416
29,0.6387153399467468,1.1061677001953125,70.01,17.51070261001587
30,0.6240055198287964,1.0438248291015626,74.41,17.547438859939575
