epoch,train_loss,test_loss,test_accuracy,epoch_time_sec
1,2.302789278564453,2.3026871704101564,10.0,18.54193091392517
2,2.1543982121276857,2.4134888916015624,10.36,17.594651222229004
3,1.9223225430297852,2.19107646484375,16.28,17.65977931022644
4,1.7913169928359984,2.2728748046875,15.17,17.651575088500977
5,1.6254730809783935,1.954145703125,23.13,17.74529790878296
6,1.4914022813034058,1.6985555419921874,37.65,17.66204857826233
7,1.3235972735595702,1.5590855346679688,44.83,17.68488645553589
8,1.1562496313667296,1.3200259521484374,53.49,17.662598133087158
9,1.0631881308174134,1.3893472290039062,49.77,18.036804914474487
10,0.9772692608261109,1.2697301818847657,58.0,17.741501808166504
11,0.9150867808532714,1.235059765625,58.1,17.8625545501709
12,0.8627558677864074,1.103444482421875,63.19,17.63124918937683
13,0.8103746520614624,1.1366664794921875,63.96,17.637156009674072
14,0.7678730092048645,1.1007713806152344,63.22,17.73683786392212
15,0.73354554271698,1.0284670593261718,64.87,17.66485333442688
16,0.7073494704055786,0.9521567138671875,70.31,17.675301551818848
17,0.6746213722801209,0.8558924438476563,73.25,17.918243169784546
18,0.6456780558013916,0.8640049499511718,72.64,17.97232174873352
19,0.6254311008834839,0.7472541687011719,77.37,17.922006368637085
20,0.6051213850593566,0.7934023681640625,75.87,17.932108163833618
21,0.590775867137909,0.7135814147949219,77.31,17.727237939834595
22,0.5705496517562866,0.7192548217773438,78.56,17.71864104270935
23,0.5565994220733642,0.6838188537597656,79.9,17.7333025932312
24,0.5373481614685058,0.6772998352050781,78.84,17.725337028503418
25,0.5295341543960571,0.7948140686035157,74.98,17.73261284828186
26,0.5081681192779541,0.6379604736328125,80.49,17.925820112228394
27,0.5002197002029419,0.6626083068847656,80.7,17.675029754638672
28,0.49156694113731386,0.6191502868652343,80.76,17.753844261169434
29,0.47864852285385134,0.6321214477539062,80.51,18.092493534088135
30,0.46034807762145996,0.6019326263427734,82.56,17.727333545684814
